Dominant_Topic,Perc_Contribution,Topic_Keywords,Page
1.0,0.1526,"research, management, social, systems, design, development, science, system, information, process",Post-consumerism.txt
10.0,0.6647,"made, material, materials, process, water, concrete, high, glass, plastic, wood",Intermediate_bulk_container.txt
11.0,0.3376,"water, earth, soil, surface, sea, land, ocean, areas, temperature, atmosphere",sewer_system.txt
1.0,0.5056,"research, management, social, systems, design, development, science, system, information, process",ISO_15686.txt
11.0,0.485,"water, earth, soil, surface, sea, land, ocean, areas, temperature, atmosphere",soil_degradation.txt
7.0,0.6857,"philosophy, theory, social, human, world, language, political, nature, history, thought",Christian_philosophy.txt
11.0,0.5087,"water, earth, soil, surface, sea, land, ocean, areas, temperature, atmosphere",Clarifier.txt
2.0,0.1895,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",energy_flow.txt
9.0,0.61,"chemical, high, metal, carbon, elements, form, reaction, compounds, process, oxygen",Minor_actinides.txt
1.0,0.5065,"research, management, social, systems, design, development, science, system, information, process",Accounting.txt
12.0,0.2888,"city, university, state, area, park, national, school, road, cities, urban",Playground.txt
5.0,0.4905,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",Carbon_credit.txt
2.0,0.5927,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",Quantum.txt
13.0,0.7015,"power, energy, fuel, air, system, gas, high, systems, vehicles, electric",Pilot_light.txt
1.0,0.34,"research, management, social, systems, design, development, science, system, information, process",international_development.txt
13.0,0.2755,"power, energy, fuel, air, system, gas, high, systems, vehicles, electric",DWEER.txt
8.0,0.4442,"data, computer, technology, media, information, company, software, design, system, digital",Printing.txt
1.0,0.7081,"research, management, social, systems, design, development, science, system, information, process",leadership.txt
10.0,0.3767,"made, material, materials, process, water, concrete, high, glass, plastic, wood",Biodegradable_bags.txt
1.0,0.4724,"research, management, social, systems, design, development, science, system, information, process",Paul_Watzlawick.txt
8.0,0.2313,"data, computer, technology, media, information, company, software, design, system, digital",SNG.txt
14.0,0.338,"economic, government, law, public, market, company, international, united_states, state, countries",Energy_Independence_and_Security_Act_of_2007.txt
8.0,0.2484,"data, computer, technology, media, information, company, software, design, system, digital",Stephanie_Forrest.txt
5.0,0.3235,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",Appropriate_technology.txt
8.0,0.4196,"data, computer, technology, media, information, company, software, design, system, digital",SSRN.txt
12.0,0.3923,"city, university, state, area, park, national, school, road, cities, urban",Blue_Lagoon.txt
3.0,0.5095,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",xylose.txt
8.0,0.3229,"data, computer, technology, media, information, company, software, design, system, digital",Criticism_of_advertising.txt
12.0,0.5778,"city, university, state, area, park, national, school, road, cities, urban",City_Beautiful_movement.txt
12.0,0.3635,"city, university, state, area, park, national, school, road, cities, urban",Traffic_island.txt
5.0,0.5237,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",e-waste.txt
